#Path C:\MINIGUI\UTILS\FUNCLIST
#Title MiniGUI Source
   SetCLButtonHandle          	Function            	
   GetCLButtonHandle          	Function            	
   SetCLButtonCaption         	Function            	
   GetCLButtonCaption         	Function            	
   SetCLButtonNoteText        	Procedure           	
   GetCLButtonNoteText        	Function            	
   SetCLButtonPicture         	Procedure           	
   GetCLButtonPicture         	Function            	
   INITCLBUTTON               	HB_FUNC             	
   CLBUTTON_SETNOTE           	HB_FUNC             	
   CLBUTTON_SETIMAGE          	HB_FUNC             	
h_combo.prg                   	                    	
   _DefineCombo               	Function            	
   InitDialogComboBox         	Function            	
   _DefineComboEx             	Function            	
   _DataComboRefresh          	Procedure           	
   _SetGetDropDownWidth       	Function            	
c_combo.c                     	                    	
   INITCOMBOBOX               	HB_FUNC             	
   INITCOMBOBOXEX             	HB_FUNC             	
   COMBOSETITEMHEIGHT         	HB_FUNC             	
   COMBOSHOWDROPDOWN          	HB_FUNC             	
   COMBOEDITSETSEL            	HB_FUNC             	
   COMBOGETEDITSEL            	HB_FUNC             	
   COMBOSELECTSTRING          	HB_FUNC             	
   COMBOFINDSTRING            	HB_FUNC             	
   COMBOFINDSTRINGEXACT       	HB_FUNC             	
   COMBOGETSTRING             	HB_FUNC             	
   COMBOADDSTRINGEX           	HB_FUNC             	
   COMBOINSERTSTRINGEX        	HB_FUNC             	
   COMBOADDDATASTRINGEX       	HB_FUNC             	
h_controlmisc.prg             	                    	
   _GetValue                  	Function            	
   _SetValue                  	Function            	
   _AddItem                   	Function            	
   _DeleteItem                	Function            	
   _DeleteAllItems            	Function            	
   GetControlIndex            	Function            	
   GetControlName             	Function            	
   GetControlHandle           	Function            	
   GetControlContainerHandle  	Function            	
   GetControlParentHandle     	Function            	
   GetControlId               	Function            	
   GetControlType             	Function            	
   GetControlValue            	Function            	
   GetControlPageMap          	Function            	
   _SetFocus                  	Function            	
   _DisableControl            	Function            	
   _EnableControl             	Function            	
   _ShowControl               	Function            	
   _HideControl               	Function            	
   _SetItem                   	Function            	
   _GetItem                   	Function            	
   _SetControlSizePos         	Function            	
   _GetItemCount              	Function            	
   _GetControlRow             	Function            	
   _GetControlCol             	Function            	
   _GetControlWidth           	Function            	
   _GetControlHeight          	Function            	
   _SetControlCaption         	Function            	
   _SetPicture                	Function            	
   _EnableToolbarButton       	Static  Function    	
   _DisableToolbarButton      	Static  Function    	
   _GetComboItemValue         	Function            	
   _GetControlAction          	Function            	
   _SetControlAction          	Static  Function    	
   _GetToolTip                	Function            	
   _SetToolTip                	Function            	
   _GetMultiToolTip           	Function            	
   _SetRangeMin               	Function            	
   _SetRangeMax               	Function            	
   _GetRangeMin               	Function            	
   _GetRangeMax               	Function            	
   _SetMultiCaption           	Function            	
   _GetMultiCaption           	Function            	
   _SetMultiImage             	Function            	
   _GetMultiImage             	Function            	
   InputWindow                	Function            	
   _InputWindowOk             	Function            	
   _InputWindowCancel         	Function            	
   _ReleaseControl            	Function            	
   _EraseControl              	Function            	
   _IsControlVisibleFromHandle	Function            	
   _IsControlVisible          	Function            	
   _SetCaretPos               	Function            	
   _GetCaretPos               	Function            	
   SetProperty                	Procedure           	
   GetProperty                	Function            	
   DoMethod                   	Function            	
   GetControlTabPage          	Function            	
   _IsControlSplitBoxed       	Static  Function    	
   _SetArrayToControl         	Static  Function    	
   _Refresh                   	Procedure           	
   _SaveData                  	Procedure           	
   _ChangeWindowTopmostStyle  	Procedure           	
   _ChangeWindowHelpButtonStyl	Procedure           	
   _ChangeWindowStyle         	Static  Procedure   	
   _SetWindowBackColor        	Function            	
   _GetFocusedControl         	Function            	
   _SetFontColor              	Static  Function    	
   _SetBackColor              	Static  Function    	
   _GetFontColor              	Static  Function    	
   _GetBackColor              	Function            	
   _IsControlEnabled          	Function            	
   _SetTextEditReadOnly       	Static  Procedure   	
   _SetStatusIcon             	Procedure           	
   _SetStatusWidth            	Procedure           	
   _GetControlFree            	Function            	
   _EnableListViewUpdate      	Function            	
   _GetCompactPath            	Function            	
   _GetShortPathName          	Function            	
   _ExtDisableControl         	Function            	
   _ExtEnableControl          	Function            	
   _SetGetRichValue           	Static  Function    	
   _SetGetAutoFont            	Static  Function    	
   _SetGetCheckboxItemState   	Static  Function    	
   _SetType                   	Function            	
   _IsTyped                   	Function            	
   _GetId                     	Function            	
   IsArrayRGB                 	Function            	
   cFilePath                  	Function            	
   cFileNoPath                	Function            	
   cFileNoExt                 	Function            	
   _IsComboExtend             	Function            	
   _DefineLetterOrDigitHotKey 	Function            	
   _IsWindowVisibleFromHandle 	Function            	
   _SetGetMinMaxInfo          	Static  Function    	
   _SetGetImageHBitmap        	Static  Function    	
   _GetPicture                	Function            	
   _GetCaption                	Function            	
   _GetFocusedControlType     	Function            	
   _IsFieldExists             	Function            	
   _IsControlDefined          	Function            	
   NoQuote                    	Static  Function    	
   GetUserControlType         	Static  Function    	
c_controlmisc.c               	                    	
   HB_SETCODEPAGE       	HB_FUNC             	
   MAKELONG                   	HB_FUNC             	
   _ENABLESCROLLBARS          	HB_FUNC             	
   DELETEOBJECT               	HB_FUNC             	
   IMAGELIST_DESTROY          	HB_FUNC             	
   SETFOCUS                   	HB_FUNC             	
   INSERTSHIFTTAB             	HB_FUNC             	
   SYSTEMPARAMETERSINFO       	HB_FUNC             	
   GETTEXTWIDTH               	HB_FUNC             	
   KEYBD_EVENT                	HB_FUNC             	
   INSERTVKEY                 	HB_FUNC             	
   _HMG_SETVSCROLLVALUE       	HB_FUNC             	
   _HMG_SETHSCROLLVALUE       	HB_FUNC             	
   SHOWCARET                  	HB_FUNC             	
   HIDECARET                  	HB_FUNC             	
   DESTROYCARET               	HB_FUNC             	
   CREATECARET                	HB_FUNC             	
   CHANGESTYLE                	HB_FUNC             	
   MOVEBTNTEXTBOX             	HB_FUNC             	
   HB_DATE                    	HB_FUNC             	
   HB_LEFTEQI                 	HB_FUNC             	
h_crypt.prg                   	                    	
   _ENCRYPT                   	Function            	
